Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-04-20 00:00:00-04:00,421.1499938964844,423.3299865722656,416.29998779296875,418.07000732421875,27582200,0.0,0.0
2026-04-21 00:00:00-04:00,420.239990234375,427.17999267578125,417.20001220703125,424.1600036621094,32048500,0.0,0.0
2026-04-22 00:00:00-04:00,426.19000244140625,433.70001220703125,423.6700134277344,432.9200134277344,29378200,0.0,0.0
2026-04-23 00:00:00-04:00,419.8900146484375,423.6600036621094,411.4100036621094,415.75,38308000,0.0,0.0
2026-04-24 00:00:00-04:00,416.9700012207031,424.95001220703125,415.79998779296875,424.6199951171875,27457400,0.0,0.0
2026-04-27 00:00:00-04:00,422.3800048828125,427.1099853515625,417.07000732421875,424.82000732421875,30867300,0.0,0.0
2026-04-28 00:00:00-04:00,424.57000732421875,429.9200134277344,421.8999938964844,429.25,30438100,0.0,0.0
2026-04-29 00:00:00-04:00,424.5799865722656,426.82000732421875,420.2900085449219,424.4599914550781,38288300,0.0,0.0
2026-04-30 00:00:00-04:00,410.80999755859375,414.4200134277344,398.010009765625,407.7799987792969,70909400,0.0,0.0
2026-05-01 00:00:00-04:00,412.79998779296875,417.1099853515625,410.44000244140625,414.44000244140625,31372400,0.0,0.0
2026-05-04 00:00:00-04:00,411.5400085449219,420.7799987792969,410.79998779296875,413.6199951171875,28066500,0.0,0.0
2026-05-05 00:00:00-04:00,415.32000732421875,416.7799987792969,408.79998779296875,411.3800048828125,25700900,0.0,0.0
2026-05-06 00:00:00-04:00,408.0,418.4200134277344,405.1099853515625,413.9599914550781,30285900,0.0,0.0
2026-05-07 00:00:00-04:00,420.1099853515625,427.9800109863281,418.760009765625,420.7699890136719,34942400,0.0,0.0
2026-05-08 00:00:00-04:00,417.3900146484375,418.6300048828125,414.0,415.1199951171875,33383800,0.0,0.0
2026-05-11 00:00:00-04:00,407.8699951171875,412.69000244140625,405.5,412.6600036621094,35657900,0.0,0.0
2026-05-12 00:00:00-04:00,414.4800109863281,415.5,406.6400146484375,407.7699890136719,38594200,0.0,0.0
2026-05-13 00:00:00-04:00,403.20001220703125,406.30999755859375,401.0299987792969,405.2099914550781,29667100,0.0,0.0
2026-05-14 00:00:00-04:00,404.4800109863281,411.8399963378906,400.8800048828125,409.42999267578125,27077500,0.0,0.0
2026-05-15 00:00:00-04:00,414.2699890136719,428.1700134277344,412.9100036621094,421.9200134277344,50310800,0.0,0.0
2026-05-18 00:00:00-04:00,416.10198974609375,425.1099853515625,415.6099853515625,423.7850036621094,20389655,0.0,0.0
